instance,problem_seed,problem_name,n,k,feasible_dimension,block_strength,mixer,mixer_edges,gamma,beta,expectation,normalized_gap,probability_optimum,feasibility_probability,state_norm,objective_evaluations,optimizer_success,local_refinement_converged
0,20260814,block_corr_n8_k3_seed20260814,8,3,56,0.58,ring,8,2.4436332788807986,0.29531548313440253,3.1443131213891387,0.12961575560872224,0.013783400895511421,1.0000000000000009,1.0000000000000004,349,True,True
0,20260814,block_corr_n8_k3_seed20260814,8,3,56,0.58,structure,8,5.837656728169736,1.3508377079498186,3.0228847164163692,0.08240686141376143,0.16101220917458253,0.9999999999999997,0.9999999999999998,341,True,True
0,20260814,block_corr_n8_k3_seed20260814,8,3,56,0.58,complete,28,2.5284423014125395,0.5370575713374692,3.1020623542580377,0.11318951666079757,0.035382988911407766,1.0000000000000022,1.000000000000001,359,True,True
1,20365543,block_corr_n8_k3_seed20365543,8,3,56,0.5930434782608696,ring,8,2.2563713274448483,0.2615027533109165,3.422563806293238,0.15908675481814002,0.011160321227502762,1.0000000000000007,1.0000000000000002,356,True,True
1,20365543,block_corr_n8_k3_seed20365543,8,3,56,0.5930434782608696,structure,8,0.18079008626959722,1.4770496220098308,3.3731043062513195,0.14251061531566378,0.02466429362428388,1.0000000000000004,1.0,359,True,True
1,20365543,block_corr_n8_k3_seed20365543,8,3,56,0.5930434782608696,complete,28,0.5433018167061557,1.2687009496586874,3.308396818052334,0.12082417792078207,0.02708324172420238,1.0000000000000022,1.000000000000001,377,True,True
2,20470272,block_corr_n8_k3_seed20470272,8,3,56,0.606086956521739,ring,8,0.740310747265749,2.4565099839893816,3.592771255530064,0.10359384776465455,0.02303307965675618,1.0000000000000004,1.0000000000000002,345,True,True
2,20470272,block_corr_n8_k3_seed20470272,8,3,56,0.606086956521739,structure,8,0.05522272702851221,1.2906679152079124,3.6520647524292356,0.12609052924207004,0.02147458490393982,1.0000000000000009,1.0000000000000004,351,True,True
2,20470272,block_corr_n8_k3_seed20470272,8,3,56,0.606086956521739,complete,28,2.267412563716677,2.772921493278577,3.604100342870038,0.10789224274295399,0.0280166667503387,1.0000000000000013,1.0000000000000007,355,True,True
3,20575001,block_corr_n8_k3_seed20575001,8,3,56,0.6191304347826087,ring,8,1.1253658137156,1.8845458240112172,3.5468544312026298,0.05879752108698648,0.03644950805357089,1.0,1.0,360,True,True
3,20575001,block_corr_n8_k3_seed20575001,8,3,56,0.6191304347826087,structure,8,2.974422890019296,3.044192889631454,3.562633422670099,0.06472031478294389,0.005590988710824043,0.9999999999999996,0.9999999999999998,520,True,True
3,20575001,block_corr_n8_k3_seed20575001,8,3,56,0.6191304347826087,complete,28,2.233091397594838,2.7694829095170355,3.548136178203944,0.05927863694758171,0.026304838508975366,1.000000000000002,1.0000000000000009,385,True,True
4,20679730,block_corr_n8_k3_seed20679730,8,3,56,0.6321739130434783,ring,8,2.26568477032367,0.2007027659713354,3.3297442403378303,0.11630372036295152,0.014649632543537334,1.0000000000000004,1.0000000000000002,344,True,True
4,20679730,block_corr_n8_k3_seed20679730,8,3,56,0.6321739130434783,structure,8,2.670673057185385,1.2594808086214937,3.230803576160498,0.07794529182876087,0.03309514822082799,0.9999999999999996,0.9999999999999998,493,True,True
4,20679730,block_corr_n8_k3_seed20679730,8,3,56,0.6321739130434783,complete,28,6.094802484440972,3.008958990811803,3.16294648171184,0.0516376909086632,0.08200649199206955,1.0000000000000007,1.0000000000000004,366,True,True
5,20784459,block_corr_n8_k3_seed20784459,8,3,56,0.6452173913043477,ring,8,2.068583118886989,0.1878705717342529,3.635722269653455,0.15655766945254168,0.009719137157334157,1.0000000000000004,1.0000000000000002,343,True,True
5,20784459,block_corr_n8_k3_seed20784459,8,3,56,0.6452173913043477,structure,8,0.0,3.013395735354694,3.5683955157425378,0.1339612085235305,0.04448468554191716,1.000000000000001,1.0000000000000004,345,True,True
5,20784459,block_corr_n8_k3_seed20784459,8,3,56,0.6452173913043477,complete,28,5.684882557800774,3.0039769759343096,3.468197544549557,0.10033238476909662,0.1057137944375787,0.9999999999999996,0.9999999999999998,344,True,True
6,20889188,block_corr_n8_k3_seed20889188,8,3,56,0.6582608695652173,ring,8,1.9432939578805535,0.277717643601908,3.5909069532883198,0.09455180637461878,0.011678263139670924,1.0000000000000004,1.0,344,True,True
6,20889188,block_corr_n8_k3_seed20889188,8,3,56,0.6582608695652173,structure,8,0.0,1.4288446190477133,3.544285846488571,0.07982799500242113,0.018800254000270186,0.999999999999999,0.9999999999999996,338,True,True
6,20889188,block_corr_n8_k3_seed20889188,8,3,56,0.6582608695652173,complete,28,0.4343156641204164,0.3684835535828499,3.5316033121621966,0.07582261512276613,0.018749276598949795,1.000000000000002,1.0000000000000009,353,True,True
7,20993917,block_corr_n8_k3_seed20993917,8,3,56,0.671304347826087,ring,8,5.244438446803169,3.141592653589793,3.4884710555712144,0.11167959807782261,0.031797443624427324,1.0000000000000007,1.0000000000000002,345,True,True
7,20993917,block_corr_n8_k3_seed20993917,8,3,56,0.671304347826087,structure,8,4.882270246860692,2.7922925900911677,3.5037143940874507,0.1166134547390159,0.030457982240020286,0.9999999999999996,0.9999999999999998,345,True,True
7,20993917,block_corr_n8_k3_seed20993917,8,3,56,0.671304347826087,complete,28,5.402870652004967,3.0143000489308753,3.417942353985646,0.08885136371481714,0.09990483597315486,1.0000000000000004,1.0000000000000002,352,True,True
8,21098646,block_corr_n8_k3_seed21098646,8,3,56,0.6843478260869564,ring,8,0.0,1.1107207249574522,3.393035217126384,0.10464247756401868,6.5583856920912664e-18,1.0000000000000004,1.0000000000000002,331,True,True
8,21098646,block_corr_n8_k3_seed21098646,8,3,56,0.6843478260869564,structure,8,0.0,1.8137069657543068,3.4103070722298674,0.10974688176070245,0.01879950643031723,0.9999999999999993,0.9999999999999997,413,True,True
8,21098646,block_corr_n8_k3_seed21098646,8,3,56,0.6843478260869564,complete,28,0.42042923054920106,0.3686345425713676,3.4103696127216208,0.10976536454362623,0.0187056630144959,1.0000000000000018,1.0000000000000009,350,True,True
9,21203375,block_corr_n8_k3_seed21203375,8,3,56,0.697391304347826,ring,8,2.006969235829543,0.2764357747202894,3.4232548760751524,0.08588178240143013,0.021481950456051196,1.0000000000000009,1.0000000000000004,346,True,True
9,21203375,block_corr_n8_k3_seed21203375,8,3,56,0.697391304347826,structure,8,2.4814438324388597,1.290255734857949,3.3599814715050784,0.06376519198737095,0.001989427555012618,1.0,0.9999999999999999,607,True,True
9,21203375,block_corr_n8_k3_seed21203375,8,3,56,0.697391304347826,complete,28,0.4678775588852006,0.36782598080107726,3.343911191231705,0.05814798505721888,0.01880819796319647,1.000000000000002,1.0000000000000009,347,True,True
10,21308104,block_corr_n8_k3_seed21308104,8,3,56,0.7104347826086956,ring,8,0.6737816685465206,2.4566486035239277,3.367244908699318,0.11724121838106376,0.03469559031146837,1.0000000000000004,1.0,369,True,True
10,21308104,block_corr_n8_k3_seed21308104,8,3,56,0.7104347826086956,structure,8,0.0,1.5265601498835628,3.395874422623263,0.1264577404373787,0.023966705470755904,1.0000000000000018,1.0000000000000009,342,True,True
10,21308104,block_corr_n8_k3_seed21308104,8,3,56,0.7104347826086956,complete,28,2.1359037867458626,0.5378965475272651,3.3553932134272713,0.11342587554395807,0.033281450946985175,1.000000000000002,1.000000000000001,358,True,True
11,21412833,block_corr_n8_k3_seed21412833,8,3,56,0.7234782608695651,ring,8,1.8829403986013744,0.28290668995979423,3.3875387857243653,0.08909911394207161,0.009381948250930326,1.0000000000000004,1.0000000000000002,338,True,True
11,21412833,block_corr_n8_k3_seed21412833,8,3,56,0.7234782608695651,structure,8,0.0,1.3871081501705251,3.339465795211942,0.07382073727888647,0.021904194357247345,1.0000000000000002,1.0,349,True,True
11,21412833,block_corr_n8_k3_seed21412833,8,3,56,0.7234782608695651,complete,28,0.43254465880435256,0.36772238403595237,3.3281429055060596,0.07022213914720855,0.019740321052122426,1.000000000000002,1.0000000000000009,348,True,True
12,21517562,block_corr_n8_k3_seed21517562,8,3,56,0.7365217391304347,ring,8,1.8208135797922977,1.6353753950192085,3.567958725189685,0.1336534450486925,0.03972932277926278,1.0000000000000007,1.0000000000000004,349,True,True
12,21517562,block_corr_n8_k3_seed21517562,8,3,56,0.7365217391304347,structure,8,2.35249466268373,2.8810947134156693,3.5164128345755983,0.1176723064509964,0.026110826869069216,1.0000000000000002,1.0,536,True,True
12,21517562,block_corr_n8_k3_seed21517562,8,3,56,0.7365217391304347,complete,28,2.7397043351710315,1.2616575923021551,3.4692777788040767,0.10305869030971353,0.049598433389264424,1.000000000000001,1.0000000000000007,534,True,True
13,21622291,block_corr_n8_k3_seed21622291,8,3,56,0.7495652173913043,ring,8,1.8981958481533836,0.287582150194984,3.363530921445951,0.11387689641205856,0.009598236921151946,1.0000000000000004,1.0000000000000002,348,True,True
13,21622291,block_corr_n8_k3_seed21622291,8,3,56,0.7495652173913043,structure,8,0.0,1.8359095557585485,3.311271348121227,0.09749164227164218,0.005980231207160618,1.000000000000001,1.0000000000000004,326,True,True
13,21622291,block_corr_n8_k3_seed21622291,8,3,56,0.7495652173913043,complete,28,0.43232918752073973,0.3677158807929853,3.309326714323916,0.09688192969743123,0.019842764669520282,1.0000000000000022,1.0000000000000013,347,True,True
14,21727020,block_corr_n8_k3_seed21727020,8,3,56,0.7626086956521738,ring,8,1.9511427297951416,0.2937977127809717,3.3661767054012066,0.07257533146550446,0.010675914787070024,1.0000000000000002,1.0,345,True,True
14,21727020,block_corr_n8_k3_seed21727020,8,3,56,0.7626086956521738,structure,8,5.498848636365245,2.231160426242561,3.3689008007819963,0.07348384235612337,0.010125218452659191,0.9999999999999998,0.9999999999999999,533,True,True
14,21727020,block_corr_n8_k3_seed21727020,8,3,56,0.7626086956521738,complete,28,0.43360207249657917,0.36756080603783103,3.3330332011153105,0.06152166762929815,0.020135050032461833,1.0000000000000022,1.000000000000001,350,True,True
15,21831749,block_corr_n8_k3_seed21831749,8,3,56,0.7756521739130434,ring,8,1.884412166963871,0.19659792162837936,3.4884296237130705,0.11202916442969917,0.008911016864248717,1.0000000000000007,1.0000000000000002,339,True,True
15,21831749,block_corr_n8_k3_seed21831749,8,3,56,0.7756521739130434,structure,8,0.05792869798251526,1.5692695015715854,3.464353186035144,0.10429524312252424,0.013759523232561988,0.9999999999999992,0.9999999999999997,354,True,True
15,21831749,block_corr_n8_k3_seed21831749,8,3,56,0.7756521739130434,complete,28,2.7977159988398075,1.266950792325006,3.4180460750213464,0.08942030367615962,0.039853782355812474,1.0000000000000013,1.0000000000000007,526,True,True
16,21936478,block_corr_n8_k3_seed21936478,8,3,56,0.788695652173913,ring,8,1.7778622830061,0.2687303582214517,3.5426580069608984,0.12568278148344691,0.010182832900334327,1.0000000000000009,1.0000000000000004,338,True,True
16,21936478,block_corr_n8_k3_seed21936478,8,3,56,0.788695652173913,structure,8,0.03975621016637138,1.6179967408537503,3.5119488918980273,0.11703862367294539,0.005334466242664894,1.0000000000000022,1.000000000000001,345,True,True
16,21936478,block_corr_n8_k3_seed21936478,8,3,56,0.788695652173913,complete,28,0.40797968161146086,0.36853556210603877,3.448422923285522,0.09915701110849265,0.018244707632122856,1.0000000000000022,1.000000000000001,400,True,True
17,22041207,block_corr_n8_k3_seed22041207,8,3,56,0.8017391304347825,ring,8,0.30260071257558513,1.3070816145326905,3.2861030052607476,0.08651046243549018,0.027236305416173348,1.0000000000000004,1.0000000000000002,349,True,True
17,22041207,block_corr_n8_k3_seed22041207,8,3,56,0.8017391304347825,structure,8,2.3855697568251615,3.141592653589793,3.329900690937903,0.09913431823953364,0.015478432853121293,1.0000000000000004,1.0000000000000002,372,True,True
17,22041207,block_corr_n8_k3_seed22041207,8,3,56,0.8017391304347825,complete,28,2.6549036551515903,1.265399610601991,3.3139120174598147,0.09452588504575417,0.03250697405448107,1.0000000000000018,1.0000000000000007,543,True,True
18,22145936,block_corr_n8_k3_seed22145936,8,3,56,0.8147826086956521,ring,8,1.8412542636473415,0.28381355109692596,3.4834509754012393,0.13765522425463328,0.004487669694334001,1.0000000000000004,1.0000000000000002,338,True,True
